servername,serverip,domainname,dnsservername
dvba690101001,10.190.137.20,jdadelivers.com,scdc02
dvba690109001,10.190.137.18,jdadelivers.com,scdc02
dvba690110001,10.190.137.15,jdadelivers.com,scdc02
